Team,Season,Champ,Games,Wins,Losses,Win_perc,Home_Wins,Home_Losses,Home_Win_perc,Away_Wins,Away_Losses,Away_Win_perc,PPG,OPP_PPG,Point_diff,ORTG,DRTG,eFG_perc,OPP_eFG_perc,Three_perc,OPP_FG_perc,FT_perc,TPG,SPG,DRB,TRB,DRB_perc,Num_All_Stars
Atlanta Hawks,2000-01,0,82,25,57,0.305,18,23,0.439,7,34,0.171,91,96.2,-5.2,98.7,104.3,0.456,0.472,0.357,0.442,0.759,16.7,7.7,30.4,42.9,70.8,1
Boston Celtics,2000-01,0,82,36,46,0.439,20,21,0.488,16,25,0.390,94.6,96.8,-2.2,101.4,103.7,0.473,0.493,0.363,0.459,0.74,15.7,9.4,28.9,39.8,72.7,0
Charlotte Hornets*,2000-01,0,82,46,36,0.561,28,13,0.683,18,23,0.439,91.9,89.8,2.1,101.8,99.5,0.457,0.456,0.346,0.426,0.745,14.4,8.1,31.8,44.4,74.5,0
Chicago Bulls,2000-01,0,82,15,67,0.183,10,31,0.244,5,36,0.122,87.6,96.7,-9.1,97.2,107.3,0.45,0.499,0.346,0.472,0.739,15.8,8.2,27.6,38.9,70.3,0
Cleveland Cavaliers,2000-01,0,82,30,52,0.366,20,21,0.488,10,31,0.244,92.2,96.5,-4.3,100.3,104.9,0.459,0.477,0.334,0.445,0.765,16.5,7.8,29.8,42.1,71.1,0
Dallas Mavericks*,2000-01,0,82,53,29,0.646,28,13,0.683,25,16,0.610,100.5,96.2,4.3,107.1,102.6,0.498,0.467,0.381,0.439,0.794,13.9,7.5,31.4,41.5,70.7,0
Denver Nuggets,2000-01,0,82,40,42,0.488,29,12,0.707,11,30,0.268,96.6,99,-2.4,103.7,106.3,0.47,0.476,0.355,0.446,0.737,13.9,6.7,31.5,44.2,71.8,0
Detroit Pistons,2000-01,0,82,32,50,0.390,18,23,0.439,14,27,0.341,95.6,97.3,-1.7,100,101.8,0.453,0.466,0.35,0.434,0.721,15.9,7.5,32,45.5,72.2,1
Golden State Warriors,2000-01,0,82,17,65,0.207,11,30,0.268,6,35,0.146,92.5,101.5,-9.0,97.8,107.4,0.429,0.504,0.293,0.472,0.706,15.9,9,29.1,45.5,69.7,0
Houston Rockets,2000-01,0,82,45,37,0.549,24,17,0.585,21,20,0.512,97.2,94.9,2.3,106.7,104.2,0.492,0.475,0.357,0.449,0.758,14.7,7.2,30.8,42,71.9,0
Indiana Pacers*,2000-01,0,82,41,41,0.500,26,15,0.634,15,26,0.366,92.6,92.8,-0.2,102,102.2,0.471,0.452,0.342,0.423,0.766,15.2,6.9,31.6,42.9,71.4,0
